Artist_ID,Artist_Name
Ar1000,Latto
Ar1001,Jung Kook
Ar1002,Myke Towers
Ar1003,Olivia Rodrigo
Ar1004,Taylor Swift
Ar1005,Bad Bunny
Ar1006,Dave
Ar1007,Central Cee
Ar1008,Eslabon Armado
Ar1009,Peso Pluma
Ar1010,Quevedo
Ar1011,Gunna
Ar1012,Yng Lvcas
Ar1013,Grupo Frontera
Ar1014,NewJeans
Ar1015,Miley Cyrus
Ar1016,David Kushner
Ar1017,Harry Styles
Ar1018,SZA
Ar1019,Fifty Fifty
Ar1020,Billie Eilish
Ar1021,Feid
Ar1022,Young Miko
Ar1023,Jimin
Ar1024,Gabito Ballesteros
Ar1025,Junior H
Ar1026,Arctic Monkeys
Ar1027,Bizarrap
Ar1028,The Weeknd
Ar1029,Madonna
Ar1030,Playboi Carti
Ar1031,Fuerza Regida
Ar1032,Rï¿½ï¿½ma
Ar1033,Selena G
Ar1034,Tainy
Ar1035,Morgan Wallen
Ar1036,Dua Lipa
Ar1037,Troye Sivan
Ar1038,21 Savage
Ar1039,Metro Boomin
Ar1040,Karol G
Ar1041,Shakira
Ar1042,Big One
Ar1043,Duki
Ar1044,Lit Killah
Ar1045,Maria Becerra
Ar1046,FMK
Ar1047,Rusherking
Ar1048,Emilia
Ar1049,Tiago pzk
Ar1050,Yahritza Y Su Esencia
Ar1051,Post Malone
Ar1052,Swae Lee
Ar1053,Bebe Rexha
Ar1054,David Guetta
Ar1055,Tyler
Ar1056,The Creator
Ar1057,Kali Uchis
Ar1058,Nicki Minaj
Ar1059,Aqua
Ar1060,Ice Spice
Ar1061,OneRepublic
Ar1062,Daft Punk
Ar1063,Ariana Grande
Ar1064,Sky Rompiendo
Ar1065,Anne-Marie
Ar1066,Coi Leray
Ar1067,Peggy Gou
Ar1068,Tom Odell
Ar1069,Manuel Turizo
Ar1070,dennis
Ar1071,MC Kevin o Chris
Ar1072,PinkPantheress
Ar1073,Charlie Puth
Ar1074,BTS
Ar1075,Rauw Alejandro
Ar1076,ROSALï¿½
Ar1077,Ozuna
Ar1078,Chris Molitor
Ar1079,Libianca
Ar1080,Glass Animals
Ar1081,JVKE
Ar1082,The Neighbourhood
Ar1083,Coldplay
Ar1084,d4vd
Ar1085,Sam Smith
Ar1086,Kim Petras
Ar1087,Yandel
Ar1088,Vance Joy
Ar1089,Em Beihold
Ar1090,Stephen Sanchez
Ar1091,Mc Livinho
Ar1092,DJ Matt D
Ar1093,Justin Bieber
Ar1094,The Kid Laroi
Ar1095,Marshmello
Ar1096,Lewis Capaldi
Ar1097,Chencho Corleone
Ar1098,Jain
Ar1099,Ayparia
Ar1100,unxbected
Ar1101,Luke Combs
Ar1102,Doechii
Ar1103,Eladio Carrion
Ar1104,J. Cole
Ar1105,Lil Durk
Ar1106,Lana Del Rey
Ar1107,Future
Ar1108,Don Toliver
Ar1109,Eminem
Ar1110,Carin Leon
Ar1111,Elton John
Ar1112,Pnau
Ar1113,Ruth B.
Ar1114,Imagine Dragons
Ar1115,Adele
Ar1116,Kendrick Lamar
Ar1117,Jay Rock
Ar1118,Anggi Marito
Ar1119,Jasiel Nuï¿½ï¿½ez
Ar1120,Peso P
Ar1121,Tears For Fears
Ar1122,Loreen
Ar1123,Taiu
Ar1124,Milo j
Ar1125,Sebastian Yatra
Ar1126,Beï¿½ï
