Artist_ID,Track_ID
Ar1000,Tr1000
Ar1001,Tr1000
Ar1002,Tr1001
Ar1003,Tr1002
Ar1004,Tr1003
Ar1005,Tr1004
Ar1006,Tr1005
Ar1007,Tr1005
Ar1008,Tr1006
Ar1009,Tr1006
Ar1010,Tr1007
Ar1011,Tr1008
Ar1009,Tr1009
Ar1012,Tr1009
Ar1005,Tr1010
Ar1013,Tr1010
Ar1014,Tr1011
Ar1015,Tr1012
Ar1016,Tr1013
Ar1017,Tr1014
Ar1018,Tr1015
Ar1019,Tr1016
Ar1020,Tr1017
Ar1021,Tr1018
Ar1022,Tr1018
Ar1023,Tr1019
Ar1024,Tr1020
Ar1025,Tr1020
Ar1009,Tr1020
Ar1004,Tr1021
Ar1026,Tr1022
Ar1027,Tr1023
Ar1009,Tr1023
Ar1028,Tr1024
Ar1029,Tr1024
Ar1030,Tr1024
Ar1031,Tr1025
Ar1032,Tr1026
Ar1033,Tr1026
Ar1034,Tr1027
Ar1005,Tr1027
Ar1035,Tr1028
Ar1036,Tr1029
Ar1037,Tr1030
Ar1009,Tr1031
Ar1013,Tr1031
Ar1028,Tr1032
Ar1038,Tr1032
Ar1039,Tr1032
Ar1004,Tr1033
Ar1040,Tr1034
Ar1041,Tr1034
Ar1042,Tr1035
Ar1043,Tr1035
Ar1044,Tr1035
Ar1045,Tr1035
Ar1046,Tr1035
Ar1047,Tr1035
Ar1048,Tr1035
Ar1049,Tr1035
Ar1050,Tr1036
Ar1013,Tr1036
Ar1004,Tr1037
Ar1004,Tr1038
Ar1031,Tr1039
Ar1025,Tr1040
Ar1009,Tr1040
Ar1051,Tr1041
Ar1052,Tr1041
Ar1053,Tr1042
Ar1054,Tr1042
Ar1055,Tr1043
Ar1056,Tr1043
Ar1057,Tr1043
Ar1058,Tr1044
Ar1059,Tr1044
Ar1060,Tr1044
Ar1015,Tr1045
Ar1061,Tr1046
Ar1028,Tr1047
Ar1028,Tr1048
Ar1062,Tr1048
Ar1063,Tr1049
Ar1028,Tr1049
Ar1021,Tr1050
Ar1002,Tr1050
Ar1064,Tr1050
Ar1054,Tr1051
Ar1065,Tr1051
Ar1066,Tr1051
Ar1040,Tr1052
Ar1067,Tr1053
Ar1068,Tr1054
Ar1028,Tr1055
Ar1057,Tr1056
Ar1069,Tr1057
Ar1040,Tr1058
Ar1004,Tr1059
Ar1070,Tr1060
Ar1071,Tr1060
Ar1072,Tr1061
Ar1060,Tr1061
Ar1073,Tr1062
Ar1074,Tr1062
Ar1001,Tr1062
Ar1075,Tr1063
Ar1076,Tr1063
Ar1077,Tr1064
Ar1021,Tr1064
Ar1078,Tr1065
Ar1004,Tr1066
Ar1079,Tr1067
Ar1051,Tr1068
Ar1004,Tr1069
Ar1075,Tr1070
Ar1027,Tr1070
Ar1080,Tr1071
Ar1081,Tr1072
Ar1082,Tr1073
Ar1027,Tr1074
Ar1010,Tr1074
Ar1083,Tr1075
Ar1084,Tr1076
Ar1085,Tr1077
Ar1086,Tr1077
Ar1087,Tr1078
Ar1021,Tr1078
Ar1045,Tr1079
Ar1088,Tr1080
Ar1089,Tr1081
Ar1090,Tr1081
Ar1091,Tr1082
Ar1092,Tr1082
Ar1004,Tr1083
Ar1093,Tr1084
Ar1094,Tr1084
Ar1095,Tr1085
Ar1069,Tr1085
Ar1096,Tr1086
Ar1097,Tr1087
Ar1005,Tr1087
Ar1098,Tr1088
Ar1099,Tr1089
Ar1100,Tr1089
Ar1101,Tr1090
Ar1102,Tr1091
Ar1005,Tr1092
Ar1103,Tr1092
Ar1004,Tr1093
Ar1001,Tr1094
Ar1104,Tr1095
Ar1105,Tr1095
Ar1106,Tr1096
Ar1018,Tr1097
Ar1106,Tr1098
Ar1074,Tr1099
Ar1004,Tr1100
Ar1107,Tr1101
Ar1039,Tr1101
Ar1108,Tr1101
Ar1051,Tr1102
Ar1109,Tr1103
Ar1014,Tr1104
Ar1110,Tr1105
Ar1036,Tr1106
Ar1111,Tr1106
Ar1112,Tr1106
Ar1113,Tr1107
Ar1114,Tr1108
Ar1115,Tr1109
Ar1116,Tr1110
Ar1117,Tr1110
Ar1118,Tr1111
Ar1119,Tr1112
Ar1120,Tr1112
Ar1004,Tr1113
Ar1121,Tr1114
Ar1104,Tr1115
Ar1122,Tr1116
Ar1123,Tr1117
Ar1124,Tr1117
Ar1125,Tr1118
Ar1069,Tr1118
Ar1126,Tr1118
Ar1004,Tr1119
Ar1025,Tr1120
Ar1009,Tr1120
Ar1127,Tr1121
Ar1128,Tr1121
Ar1129,Tr1122
Ar1110,Tr1123
Ar1013,Tr1123
Ar1009,Tr1124
Ar1021,Tr1125
Ar1130,Tr1126
Ar1131,Tr1126
Ar1132,Tr1126
Ar1017,Tr1127
Ar1020,Tr1128
Ar1133,Tr1128
Ar1075,Tr1129
Ar1027,Tr1129
Ar1134,Tr1130
Ar1014,Tr1131
Ar1106,Tr1132
Ar1041,Tr1133
Ar1027,Tr1133
Ar1026,Tr1134
Ar1052,Tr1135
Ar1135,Tr1135
Ar1039,Tr1135
Ar1136,Tr1135
Ar1137,Tr1136
Ar1138,Tr1136
Ar1039,Tr1136
Ar1139,Tr1137
Ar1140,Tr1137
Ar1141,Tr1137
Ar1142,Tr1137
Ar1143,Tr1137
Ar1144,Tr1138
Ar1084,Tr1139
Ar1114,Tr1140
Ar1145,Tr1141
Ar1146,Tr1141
Ar1147,Tr1141
Ar1148,Tr1141
Ar1149,Tr1142
Ar1150,Tr1142
Ar1109,Tr1143
Ar1151,Tr1144
Ar1152,Tr1144
Ar1009,Tr1144
Ar1028,Tr1145
Ar1106,Tr1145
Ar1153,Tr1146
Ar1154,Tr1146
Ar1155,Tr1147
Ar1156,Tr1148
Ar1157,Tr1149
Ar1158,Tr1150
Ar1009,Tr1151
Ar1159,Tr1152
Ar1160,Tr1152
Ar1161,Tr1153
Ar1162,Tr1153
Ar1163,Tr1154
Ar1042,Tr1155
Ar1046,Tr1155
Ar1164,Tr1155
Ar1165,Tr1156
