Metric_ID,Track_ID,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,mode
Mt1000,Tr1000,80,89,83,31,0,8,4,125,Major
Mt1001,Tr1001,71,61,74,7,0,10,4,92,Major
Mt1002,Tr1002,51,32,53,17,0,31,6,138,Major
Mt1003,Tr1003,55,58,72,11,0,11,15,170,Major
Mt1004,Tr1004,65,23,80,14,63,11,6,144,Minor
Mt1005,Tr1005,92,66,58,19,0,8,24,141,Major
Mt1006,Tr1006,67,83,76,48,0,8,3,148,Minor
Mt1007,Tr1007,67,26,71,37,0,11,4,100,Major
Mt1008,Tr1008,85,22,62,12,0,28,9,130,Minor
Mt1009,Tr1009,81,56,48,21,0,8,33,170,Minor
Mt1010,Tr1010,57,56,72,23,0,27,5,83,Minor
Mt1011,Tr1011,78,52,82,18,0,15,7,150,Minor
Mt1012,Tr1012,71,65,68,6,0,3,7,118,Major
Mt1013,Tr1013,51,32,43,83,0,9,3,130,Minor
Mt1014,Tr1014,52,66,73,34,0,31,6,174,Minor
Mt1015,Tr1015,64,43,73,5,17,16,4,89,Major
Mt1016,Tr1016,78,76,59,43,0,34,3,120,Minor
Mt1017,Tr1017,44,14,9,96,0,10,3,78,Major
Mt1018,Tr1018,86,67,66,14,0,12,16,100,Major
Mt1019,Tr1019,63,36,73,0,0,36,4,120,Major
Mt1020,Tr1020,65,87,74,22,0,42,4,140,Minor
Mt1021,Tr1021,69,82,76,6,0,6,3,123,Major
Mt1022,Tr1022,48,44,42,12,2,11,3,135,Minor
Mt1023,Tr1023,85,81,67,26,0,12,5,133,Minor
Mt1024,Tr1024,85,83,68,7,0,36,20,99,Major
Mt1025,Tr1025,79,96,86,9,0,9,9,130,Minor
Mt1026,Tr1026,80,82,80,43,0,14,4,107,Major
Mt1027,Tr1027,81,74,71,14,0,56,4,122,Minor
Mt1028,Tr1028,52,52,68,46,0,15,4,204,Major
Mt1029,Tr1029,67,78,85,2,0,33,5,110,Minor
Mt1030,Tr1030,74,35,84,0,0,11,6,126,Minor
Mt1031,Tr1031,56,63,87,39,0,11,5,168,Major
Mt1032,Tr1032,71,17,61,36,0,8,5,98,Minor
Mt1033,Tr1033,64,51,63,12,0,19,5,97,Major
Mt1034,Tr1034,72,61,63,67,0,9,28,180,Minor
Mt1035,Tr1035,81,63,68,11,0,11,4,120,Major
Mt1036,Tr1036,61,39,73,37,0,11,3,150,Major
