Platform_ID,Track_ID,Platform_Name,In_Playlists,In_Charts
Pl1000,Tr1000,Spotify,553,147
Pl1001,Tr1000,Apple,43,263
Pl1002,Tr1000,Deezer,45,10
Pl1003,Tr1000,Shazam,0,826
Pl1004,Tr1001,Spotify,1474,48
Pl1005,Tr1001,Apple,48,126
Pl1006,Tr1001,Deezer,58,14
Pl1007,Tr1001,Shazam,0,382
Pl1008,Tr1002,Spotify,1397,113
Pl1009,Tr1002,Apple,94,207
Pl1010,Tr1002,Deezer,91,14
Pl1011,Tr1002,Shazam,0,949
Pl1012,Tr1003,Spotify,7858,100
Pl1013,Tr1003,Apple,116,207
Pl1014,Tr1003,Deezer,125,12
Pl1015,Tr1003,Shazam,0,548
Pl1016,Tr1004,Spotify,3133,50
Pl1017,Tr1004,Apple,84,133
Pl1018,Tr1004,Deezer,87,15
Pl1019,Tr1004,Shazam,0,425
Pl1020,Tr1005,Spotify,2186,91
Pl1021,Tr1005,Apple,67,213
Pl1022,Tr1005,Deezer,88,17
Pl1023,Tr1005,Shazam,0,946
Pl1024,Tr1006,Spotify,3090,50
Pl1025,Tr1006,Apple,34,222
Pl1026,Tr1006,Deezer,43,13
Pl1027,Tr1006,Shazam,0,418
Pl1028,Tr1007,Spotify,714,43
Pl1029,Tr1007,Apple,25,89
Pl1030,Tr1007,Deezer,30,13
Pl1031,Tr1007,Shazam,0,194
Pl1032,Tr1008,Spotify,1096,83
Pl1033,Tr1008,Apple,60,210
Pl1034,Tr1008,Deezer,48,11
Pl1035,Tr1008,Shazam,0,953
Pl1036,Tr1009,Spotify,2953,44
Pl1037,Tr1009,Apple,49,110
Pl1038,Tr1009,Deezer,66,13
Pl1039,Tr1009,Shazam,0,339
Pl1040,Tr1010,Spotify,2876,40
Pl1041,Tr1010,Apple,41,205
Pl1042,Tr1010,Deezer,54,12
Pl1043,Tr1010,Shazam,0,251
Pl1044,Tr1011,Spotify,422,55
Pl1045,Tr1011,Apple,37,202
Pl1046,Tr1011,Deezer,21,5
Pl1047,Tr1011,Shazam,0,168
Pl1048,Tr1012,Spotify,12211,115
