Track_ID,Track_Name,Streams,Released_Day,Released_Month,Released_Year,Cover_URL
Tr1000,Seven (feat. Latto) (Explicit Ver.),141381703,14,7,2023,Not Found
Tr1001,LALA,133716286,23,3,2023,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
Tr1002,vampire,140003974,30,6,2023,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Tr1003,Cruel Summer,800840817,23,8,2019,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
Tr1004,WHERE SHE GOES,303236322,18,5,2023,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
Tr1005,Sprinter,183706234,1,6,2023,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Tr1006,Ella Baila Sola,725980112,16,3,2023,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Tr1007,Columbia,58149378,7,7,2023,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
Tr1008,fukumean,95217315,15,5,2023,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
Tr1009,La Bebe - Remix,553634067,17,3,2023,Not Found
Tr1010,un x100to,505671438,17,4,2023,Not Found
Tr1011,Super Shy,58255150,7,7,2023,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af
Tr1012,Flowers,1316855716,12,1,2023,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
Tr1013,Daylight,387570742,14,4,2023,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
Tr1014,As It Was,2513188493,31,3,2022,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Tr1015,Kill Bill,1163093654,8,12,2022,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
Tr1016,Cupid - Twin Ver.,496795686,24,2,2023,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
Tr1017,"What Was I Made For? [From The Motion Picture ""Barbie""]",30546883,13,7,2023,Not Found
Tr1018,Classy 101,335222234,31,3,2023,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
Tr1019,Like Crazy,363369738,24,3,2023,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
Tr1020,LADY GAGA,86444842,22,6,2023,Not Found
Tr1021,I Can See You (Taylor?s Version) (From The ,52135248,7,7,2023,Not Found
Tr1022,I Wanna Be Yours,1297026226,1,1,2013,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Tr1023,"Peso Pluma: Bzrp Music Sessions, Vol. 55",200647221,31,5,2023,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81
Tr1024,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),115364561,2,6,2023,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d
Tr1025,SABOR FRESA,78300654,22,6,2023,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9
